,cbsa_code,cbsa_name,city,state,cluster_k6,centroid_lat,centroid_lon,MedianHomeValue_B25077,MedianGrossRent_B25064,MedianHouseholdIncome_B19013,affordability_score,job_growth_score,safety_score,education_score,health_score,walkability_score,diversity_score,urban_score,weather_warmth_score,weather_mildness_score
764,42420,"Scottsbluff, NE Micro Area",Scottsbluff,NE,1,41.699256,-103.708555,161400,889,61156,66.04782084282961,43.199761000790645,53.50143375767218,38.300332011245985,56.62784994657012,39.591502179709394,43.191284767261486,22.745636868456707,20.82464135597833,32.89408821258601
765,42460,"Scottsboro, AL Micro Area",Scottsboro,AL,2,34.764114,-85.980056,145800,762,49454,63.93262812788526,57.21950712511024,73.41842997750274,2.2793478971292362,15.02367007901794,0.0,16.37045927616698,3.358657369586489,63.379612627463516,71.44855852435097
766,42540,"Scranton--Wilkes-Barre, PA Metro Area",Scranton--Wilkes-Barre,PA,1,41.322881,-75.898188,176500,963,63656,63.61265157427591,46.80611423529936,85.85403333553299,40.78675756967266,60.078290488989225,44.34354964017254,41.18447672082561,71.273793870438,31.519408796297515,34.49272872427408
767,42580,"Seaford, DE Micro Area",Seaford,DE,3,38.673227,-75.337024,353300,1221,78162,48.37459057425117,57.70264245631998,59.39835266766711,60.687762990161346,48.17911835560814,58.432281556845766,55.948779598726304,30.677224892286247,54.71515732932186,64.813804189086
768,42620,"Searcy, AR Micro Area",Searcy,AR,2,35.255118,-91.753034,159600,806,53435,63.87152901475218,42.70435883729401,80.7603149814149,16.877048171642908,30.313139617591926,10.121097940725459,19.804825654396893,9.32559240949843,69.15247378059479,67.29812997070277
769,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle-Tacoma-Bellevue,WA,4,47.490552,-121.833977,673500,1932,112594,33.33333333333333,52.42408218082237,21.496042611294307,100.0,90.0792819671477,100.0,90.20277532175389,100.0,10.889950067441044,35.96858994677643
770,42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",Sebastian-Vero Beach-West Vero Corridor,FL,3,27.700528,-80.574789,314700,1284,71049,44.12750668986045,64.05598931358256,95.24790976763737,63.66396611320967,57.973762171424134,34.657379447693465,51.306879971727874,48.339321627756036,100.0,75.94020637404674
771,42700,"Sebring, FL Metro Area",Sebring,FL,2,27.34108,-81.342353,177900,980,55581,56.95207101409327,46.18703851072708,72.63503328222805,16.619475407285833,30.784119847367243,22.88423771092249,63.79795295406466,20.40031476948803,100.0,77.48541403874465
772,42740,"Sedalia, MO Micro Area",Sedalia,MO,1,38.727367,-93.285207,161500,863,60232,66.39335749527115,61.97683133562576,89.43333889941844,12.84667876481972,38.338392097464954,29.921312301817053,26.806481305244724,31.733418435164765,39.26061938335165,51.52307418568453
773,42780,"Selinsgrove, PA Micro Area",Selinsgrove,PA,1,40.755412,-77.07302,205500,890,68435,67.40558248916768,48.99179222445059,94.96120375535517,22.435904487240798,43.340545006532,22.028062104997108,0.0,21.88593616822143,28.30044490568317,37.90051814274187
774,42820,"Selma, AL Micro Area",Selma,AL,2,32.333526,-87.11436,97400,749,36810,66.21696252465483,24.243148555850933,40.42705023580809,7.279991407722293,9.621283669133394,15.29806844294048,59.58430610014245,11.84737410960088,85.49617691984191,79.91943639009583
775,42860,"Seneca, SC Micro Area",Seneca,SC,2,34.748766,-83.06154,217200,876,60193,60.93778687916527,35.158290834988684,86.31948492993921,46.7886909163752,36.38112424543563,11.682941701853148,29.78954971621389,11.723043385945985,60.74206568053227,68.91433384886813
776,42900,"Seneca Falls, NY Micro Area",Seneca Falls,NY,1,42.782294,-76.827088,142700,925,66007,69.80183260115865,30.00727845466173,68.6584507708969,31.751190943643167,53.735846733359956,11.965933119263324,14.767202370472159,11.373728232988562,16.62769900038102,42.340925954012704
777,42940,"Sevierville, TN Micro Area",Sevierville,TN,1,35.787822,-83.5249,259500,1013,63829,54.44284997702577,55.29414398264653,66.7109690545367,22.492290077162195,27.576738315993957,12.580998387220685,20.241677329333083,14.342129483848545,46.03314593993154,59.916276673687854
778,42980,"Seymour, IN Micro Area",Seymour,IN,1,38.911957,-86.042516,174500,946,70208,69.21971834029489,70.82763391088774,98.7286479994558,18.49531510326145,43.97034322050091,14.971638233530596,39.2160234426601,22.421110141047517,40.439976697279775,48.22391468684338
779,43020,"Shawano, WI Micro Area",Shawano,WI,1,44.851643,-88.745543,175200,764,66189,73.41766111676725,45.93011894972727,90.60158332165011,13.335864031131898,37.75604126633535,14.32355890236533,44.606676911813075,2.5952603114168262,2.516719592331331,7.816175793314353
780,43060,"Shawnee, OK Micro Area",Shawnee,OK,2,35.211391,-96.957004,155700,869,60828,67.10139671748354,39.56206475133157,44.49653672226164,20.981005172429604,27.283594060863038,23.18474361895205,63.69644972607309,21.588100965943347,67.9896398555346,70.44514900347474
781,43100,"Sheboygan, WI Metro Area",Sheboygan,WI,0,43.738713,-87.731531,218400,889,71898,68.82271399837802,64.12176123956343,68.59219032790259,42.676483233142676,63.062891130052726,37.76890377639416,31.26128093752803,42.97647525992495,5.977338177067869,34.54389182973909
782,43140,"Shelby-Kings Mountain, NC Micro Area",Shelby-Kings Mountain,NC,2,35.33463,-81.557114,180200,835,55769,62.605643935671324,56.82675802561468,63.720341358178004,21.23059448559786,33.315972047302886,8.05162958402776,61.07992086887038,21.100747454235744,60.14825615750424,70.17597378476628
783,43180,"Shelbyville, TN Micro Area",Shelbyville,TN,2,35.51366,-86.458294,255300,917,62197,57.414758853214686,68.56051070654293,82.02897837503747,6.944111092573607,27.427210993694665,1.068613710035436,44.97866709501733,9.913032700901608,62.9634296101535,68.22791759657544
784,43220,"Shelton, WA Micro Area",Shelton,WA,3,47.350832,-123.173103,377400,1205,78359,47.02252828458067,39.89480042901992,82.5408464195637,24.440646500002213,48.18901718659593,18.231871665992617,48.29880883368989,6.81744785196832,28.336589828255235,64.73776932772009
785,43260,"Sheridan, WY Micro Area",Sheridan,WY,3,44.781369,-106.881211,352200,950,70855,53.853480165603685,68.84335616914171,80.40418194824109,63.46423766344147,69.40150209858939,40.42437558288897,4.26861076659472,22.036067917401315,8.053089676326131,42.310011122538796
786,43300,"Sherman-Denison, TX Metro Area",Sherman-Denison,TX,3,33.624548,-96.675777,228300,1178,70455,55.500509232235615,68.89718437484527,57.73590444299536,30.3680678767214,54.91214514827931,15.662807828668216,46.818404755421994,26.685461870253068,76.34221605686544,77.93676831844733
787,43320,"Show Low, AZ Micro Area",Show Low,AZ,2,35.390785,-110.321025,186100,832,52752,60.011594157878264,24.902823086541265,76.40720502563062,9.423287661547397,22.232800078965706,1.811220205480746,93.27182521985283,1.4264520491242632,52.07967582484609,67.63485916772495
788,43340,"Shreveport-Bossier City, LA Metro Area",Shreveport-Bossier City,LA,2,32.437682,-93.744884,187300,1003,54635,54.52814595269166,18.90939728493644,1.4210854715202004e-14,35.49026699464642,22.26109434416231,18.539653852915265,86.63148435139665,31.170847479874197,80.70955588843354,78.47312467449368
789,43380,"Sidney, OH Micro Area",Sidney,OH,1,40.33668,-84.204142,190300,904,72822,71.3815453103688,37.116772376070884,51.172262485297146,19.653917971876286,41.14171629290231,9.694050652553681,3.4371210596014463,21.02715010372007,28.84674962917497,47.01219293760213
790,43420,"Sierra Vista-Douglas, AZ Metro Area",Sierra Vista-Douglas,AZ,3,31.840129,-109.775163,207400,939,58970,58.4287314366477,23.325496918366554,74.03594724160321,43.83906308928477,50.86412033904001,14.990969485511142,74.39440149417959,14.753868296734455,69.6151288196723,85.80246728101412
791,43460,"Sikeston, MO Micro Area",Sikeston,MO,2,36.94283,-89.427601,128800,801,55225,68.08668089682129,95.66525298233861,32.13417175673766,16.795426901470535,19.71442499620497,23.958797372558507,42.19338948949471,19.347227682470788,61.018832557151775,63.5082913274279
792,43500,"Silver City, NM Micro Area",Silver City,NM,2,32.732087,-108.381504,164400,810,45921,59.409733294491204,30.8041003797786,92.71477040737969,47.58862292262613,41.463111519216795,20.516028178372864,71.80737779713236,9.201051251472437,46.64244611175276,70.74650720167455
793,43580,"Sioux City, IA-NE-SD Metro Area",Sioux City,IA-NE-SD,0,42.508037,-96.311314,179100,968,72027,69.26750413387944,42.62176714268051,17.996936116528005,30.856279033987626,65.77991348541364,100.0,65.0466021853033,39.4480658057963,17.377448052967473,34.84832998749002
794,43620,"Sioux Falls, SD-MN Metro Area",Sioux Falls,SD-MN,4,43.525658,-96.875416,274800,987,81418,66.89689063712436,92.44060831925569,18.613474844815933,71.60200631163346,79.15532106523081,82.83460518831141,31.59917707964119,41.13221811669902,12.546420404553091,32.890807413558434
795,43640,"Slidell-Mandeville-Covington, LA Metro Area",Slidell-Mandeville-Covington,LA,3,30.410022,-89.951962,272200,1305,79277,53.02648445447059,41.40317752564495,56.88228630268044,74.41550533499536,52.726671692981036,18.539653852915265,56.92197274421321,42.77120165521687,93.04530301707165,79.81740828287246
796,43660,"Snyder, TX Micro Area",Snyder,TX,5,32.744353,-100.913346,110800,913,62689,70.35101936789192,60.20585986072732,24.603496048515456,10.286750716734664,54.98196133917114,34.858651966675396,71.31432672098109,15.658878880377003,75.36320488950172,82.12535519380691
797,43700,"Somerset, KY Micro Area",Somerset,KY,2,37.107428,-84.576969,156300,835,50943,61.208278643832216,45.664902789830464,91.39814669803157,10.389983099760979,43.340545006532,8.197509577083691,0.0,9.722732073701135,56.3272210494279,63.8265330170567
798,43740,"Somerset, PA Micro Area",Somerset,PA,1,39.981297,-79.028486,130600,749,59378,72.99628241834328,38.20074751947003,100.0,8.233941758388964,43.340545006532,17.933323381273727,0.0,12.353922746908479,14.611844804615929,38.04611488932465
799,43760,"Sonora, CA Micro Area",Sonora,CA,3,38.021434,-119.964733,406200,1247,72259,38.39307716606773,29.822140470225822,90.34543462942497,31.093056684468014,57.94707881753185,16.969692868087247,36.38775337760649,4.079729061600556,43.837599833686916,67.21456657602073
800,43780,"South Bend-Mishawaka, IN-MI Metro Area",South Bend-Mishawaka,IN-MI,5,41.774981,-86.123014,183800,1013,65385,62.25229504928393,43.721455481593246,42.90068971906342,54.34821223279208,48.26364738321408,31.157560371650327,58.95289946466437,67.41350567552098,24.700410180256128,43.40730393365458
801,43890,"Sparta, WI Micro Area",Sparta,WI,1,43.945175,-90.619969,197200,920,68213,66.79317851476587,57.52473303583097,67.4971210548693,17.471917333658155,35.143180204900624,23.413916891617085,10.698558421890871,12.398550477613462,4.246512514662224,26.947587760652866
