cbsa_code,cbsa_title,n_tracts,total_population_weight,obesity_share,physical_inactivity_share,depression_share,current_asthma_share,diabetes_share,stroke_share,coronary_heart_disease_share,arthritis_share,any_disability_share,current_smoking_share,binge_drinking_share
31420,"Macon-Bibb County, GA",68,180585,42.2584622200072,31.552846028186174,19.964567378242933,11.071307140681673,16.58071545255697,4.874774759808401,7.514399867098598,28.910206274053774,36.00345211396295,17.237613866046463,13.142231636071655
31500,"Madison, IN",7,26165,36.5954251863176,25.164609210777755,26.752700171985477,11.739373208484617,13.220198738773172,3.617634244219377,7.2887597936174275,30.40114274794573,32.738562965794,17.308308809478312,16.42718517103
31540,"Madison, WI",150,541848,33.74168124640121,22.15595203820998,24.53925713484224,10.223843218024243,8.587909155335074,2.5825642984748485,5.039231666445202,20.894502701864727,25.92997482688872,10.987550383133275,20.32547983936454
31580,"Madisonville, KY",13,35186,,,,,,,,,,,
31620,"Magnolia, AR",7,17954,38.076317255207755,34.85829341650886,23.739133340759718,11.155564219672497,14.970168207641752,4.624629609000779,8.014492592180016,29.455163194831236,40.83578032750362,16.643633730644986,13.344402361590731
31680,"Malvern, AR",9,26041,36.96890288391383,33.92426558119888,24.019377136054683,10.518248147152567,14.01857455550862,4.442225720978457,8.583525978265044,29.906124956798894,40.12136630697746,18.59485810836758,14.27170231557928
31700,"Manchester-Nashua, NH",102,338264,33.29068745122152,22.203016874393963,21.92134930113757,10.85776168909491,9.08348183667195,2.8872531513847175,5.467539554903862,25.620282382990805,26.0266324527588,11.02914143982215,16.262986010926376
31740,"Manhattan, KS",32,103542,30.45055050124587,24.790228119989955,22.645053215120434,10.362170906492054,8.165161963261285,2.4443221108342508,4.673397268741187,19.331504123930387,30.75544223600085,13.577081763921885,18.585237874485717
31820,"Manitowoc, WI",19,64596,39.46419282927736,30.344581707845688,22.042580035915538,10.89677689020992,12.020953309802465,3.795516750263174,7.4927611616818375,29.644459409251347,29.907844138955966,15.285152331413709,19.129682952504798
31860,"Mankato, MN",23,81651,34.030538511469544,23.39357019509865,26.146375427122756,10.486792568370259,9.415879781019216,2.9073801913020048,5.567636648663212,21.014621988708036,29.000883026539785,13.90267847301319,19.19375022963589
31900,"Mansfield, OH",30,97883,39.69293237845182,31.43604813910485,26.56246028421687,11.255888152181685,15.227499157157013,4.368952729278833,8.622022210189716,31.857678044195616,32.88570742621293,19.390587742508913,14.500887794611934
31930,"Marietta, OH",18,47860,44.022741328875895,29.933004596740496,26.213017133305478,11.093435018804845,13.813781863769327,4.092676556623486,8.491310071040534,34.34966360217301,32.24996239030506,17.457457166736315,16.66987254492269
31940,"Marinette, WI-MI",19,53072,38.341581248115766,29.30944942719325,24.979164154356344,11.263421389810068,13.820617274645764,4.340880313536328,8.818678399155864,33.43984775399457,35.091944905034666,16.552304416641544,16.943425911968646
31980,"Marion, IN",16,52856,41.20126381110943,29.80889397608597,27.71449977296806,11.853600348115632,15.620478280611472,4.355959588315423,8.435084001816255,32.451411381867715,36.1257738005146,18.397143181474195,15.337276751929773
32000,"Marion, NC",12,35805,35.45136154168412,26.418751571009633,26.19018014243821,11.018494623655913,13.129568496020108,4.2948806032677,8.312559698366151,31.868389889680213,36.40064795419634,17.327133081971795,14.614824745147326
32020,"Marion, OH",18,51628,43.705741070736806,33.24997288293174,27.353011931510036,11.01592546680096,14.520246765321142,4.06725420314558,8.061023088246689,32.688825830944445,34.354693189742,19.434717595103432,16.498427210041065
32060,"Marion-Herrin, IL",18,52532,40.20455912586614,24.5467543592477,23.151635193786642,10.73459795933907,12.509773090687581,3.7836404477271,7.295263839183736,29.75615434401888,31.97478489301759,15.158983096017666,17.955151145968173
32100,"Marquette, MI",26,53919,37.575758081566796,22.16859734045513,27.730864815742127,11.551178619781524,11.095237300395036,3.497624214098927,7.112947198575642,29.30743151764684,31.474126003820547,14.439425805374729,17.595949479775218
32140,"Marshall, MN",7,18861,37.96357563225704,25.076422246964633,22.99060495201739,10.166449286888287,10.897174062881078,3.3815280207836276,6.581575738295955,24.135093579343618,29.432055564392133,14.831477652298393,18.438216425428134
32180,"Marshall, MO",8,18120,37.534536423841054,31.462400662251653,24.766799116997795,10.667847682119207,12.109845474613687,3.637014348785873,7.0103145695364235,28.139128035320088,38.91777041942605,16.372146799117,16.47916114790287
32260,"Marshalltown, IA",11,30017,43.925602158776705,28.449458640103938,19.542962321351236,9.598300962787754,12.837928507179265,3.673764866575607,7.330319485624813,27.579298397574707,30.935639804111002,15.31307592364327,19.40467734950195
32280,"Martin, TN",11,26499,40.31072493301634,30.01763085399449,30.635073021623455,11.592965772293294,14.380882297445186,4.202430280387939,8.012611796671571,31.961236273066906,41.059511679686025,19.986505151137774,13.847326314200533
32300,"Martinsville, VA",19,51746,42.67755382058517,33.62719243999536,23.716005101843624,11.972670351331505,18.445431530939587,5.563686082016002,9.718840103582885,35.84078962625131,40.859960190159626,18.52829397441348,11.942262203841844
32340,"Maryville, MO",6,17004,36.493272171253814,27.917784050811573,26.395648082804044,10.773776758409785,10.562949894142555,3.3267819336626676,6.534697718183956,26.19402493530934,36.88190425782168,15.378393319219008,17.632333568572097
32380,"Mason City, IA",15,40190,40.181015177904946,26.869990047275444,21.35101766608609,10.141958198556857,12.375789997511818,3.8760213983578002,7.78101517790495,32.40188355312266,30.5900945508833,15.808698681263996,19.268544414033343
